NUGET,SBOM_dependencies,CVE
microsoft.aspnetcore.dataprotection.abstractions@3.1.32,microsoft.aspnetcore.dataprotection.abstractions@3.1.32,NA
microsoft.aspnetcore.dataprotection@3.1.32,microsoft.aspnetcore.dataprotection@3.1.32,NA
microsoft.aspnetcore.jsonpatch@7.0.3,microsoft.aspnetcore.jsonpatch@7.0.3,NA
microsoft.aspnetcore.mvc.newtonsoftjson@7.0.3,microsoft.aspnetcore.mvc.newtonsoftjson@7.0.3,NA
microsoft.aspnetcore.mvc.razor.extensions@6.0.0,microsoft.aspnetcore.mvc.razor.extensions@6.0.0,NA
microsoft.aspnetcore.mvc.razor.runtimecompilation@7.0.3,microsoft.aspnetcore.mvc.razor.runtimecompilation@7.0.3,NA
microsoft.aspnetcore.razor.language@6.0.0,microsoft.aspnetcore.razor.language@6.0.0,NA
microsoft.azure.services.appauthentication@1.6.2,microsoft.azure.services.appauthentication@1.6.2,NA
microsoft.bcl.asyncinterfaces@6.0.0,microsoft.bcl.asyncinterfaces@6.0.0,NA
microsoft.codeanalysis.analyzers@3.3.2,microsoft.codeanalysis.analyzers@3.3.2,NA
microsoft.codeanalysis.common@4.0.0,microsoft.codeanalysis.common@4.0.0,NA
microsoft.codeanalysis.csharp@4.0.0,microsoft.codeanalysis.csharp@4.0.0,NA
microsoft.codeanalysis.razor@6.0.0,microsoft.codeanalysis.razor@6.0.0,NA
microsoft.codecoverage@17.5.0,microsoft.codecoverage@17.5.0,NA
microsoft.csharp@4.5.0,microsoft.csharp@4.5.0,NA
microsoft.csharp@4.7.0,microsoft.csharp@4.7.0,NA
microsoft.data.sqlclient.sni.runtime@4.0.0,microsoft.data.sqlclient.sni.runtime@4.0.0,NA
microsoft.data.sqlclient.sni.runtime@5.1.0,microsoft.data.sqlclient.sni.runtime@5.1.0,NA
microsoft.data.sqlclient@4.0.1,microsoft.data.sqlclient@4.0.1,NA
microsoft.data.sqlclient@5.1.0,microsoft.data.sqlclient@5.1.0,NA
microsoft.data.sqlite.core@7.0.1,microsoft.data.sqlite.core@7.0.1,NA
microsoft.data.sqlite@7.0.1,microsoft.data.sqlite@7.0.1,NA
microsoft.extensions.caching.abstractions@7.0.0,microsoft.extensions.caching.abstractions@7.0.0,NA
microsoft.extensions.caching.sqlserver@7.0.3,microsoft.extensions.caching.sqlserver@7.0.3,NA
microsoft.extensions.caching.stackexchangeredis@7.0.3,microsoft.extensions.caching.stackexchangeredis@7.0.3,NA
microsoft.extensions.configuration.abstractions@3.1.32,microsoft.extensions.configuration.abstractions@3.1.32,NA
microsoft.extensions.dependencyinjection.abstractions@7.0.0,microsoft.extensions.dependencyinjection.abstractions@7.0.0,NA
microsoft.extensions.dependencyinjection@2.0.0,microsoft.extensions.dependencyinjection@2.0.0,NA
microsoft.extensions.dependencymodel@7.0.0,microsoft.extensions.dependencymodel@7.0.0,NA
microsoft.extensions.fileproviders.abstractions@3.1.32,microsoft.extensions.fileproviders.abstractions@3.1.32,NA
microsoft.extensions.hosting.abstractions@3.1.32,microsoft.extensions.hosting.abstractions@3.1.32,NA
microsoft.extensions.logging.abstractions@7.0.0,microsoft.extensions.logging.abstractions@7.0.0,NA
microsoft.extensions.logging@2.0.1,microsoft.extensions.logging@2.0.1,NA
microsoft.extensions.objectpool@5.0.10,microsoft.extensions.objectpool@5.0.10,NA
microsoft.extensions.options@7.0.1,microsoft.extensions.options@7.0.1,NA
microsoft.extensions.primitives@7.0.0,microsoft.extensions.primitives@7.0.0,NA
microsoft.identity.client.extensions.msal@2.25.3,microsoft.identity.client.extensions.msal@2.25.3,NA
microsoft.identity.client@4.49.1,microsoft.identity.client@4.49.1,NA
microsoft.identitymodel.abstractions@6.22.0,microsoft.identitymodel.abstractions@6.22.0,NA
microsoft.identitymodel.abstractions@6.24.0,microsoft.identitymodel.abstractions@6.24.0,NA
microsoft.identitymodel.clients.activedirectory@5.2.9,microsoft.identitymodel.clients.activedirectory@5.2.9,NA
microsoft.identitymodel.jsonwebtokens@6.24.0,microsoft.identitymodel.jsonwebtokens@6.24.0,NA
microsoft.identitymodel.jsonwebtokens@6.8.0,microsoft.identitymodel.jsonwebtokens@6.8.0,NA
microsoft.identitymodel.logging@6.24.0,microsoft.identitymodel.logging@6.24.0,NA
microsoft.identitymodel.logging@6.8.0,microsoft.identitymodel.logging@6.8.0,NA
microsoft.identitymodel.protocols.openidconnect@6.24.0,microsoft.identitymodel.protocols.openidconnect@6.24.0,NA
microsoft.identitymodel.protocols.openidconnect@6.8.0,microsoft.identitymodel.protocols.openidconnect@6.8.0,NA
microsoft.identitymodel.protocols@6.24.0,microsoft.identitymodel.protocols@6.24.0,NA
microsoft.identitymodel.protocols@6.8.0,microsoft.identitymodel.protocols@6.8.0,NA
microsoft.identitymodel.tokens@6.24.0,microsoft.identitymodel.tokens@6.24.0,NA
microsoft.identitymodel.tokens@6.8.0,microsoft.identitymodel.tokens@6.8.0,NA
