From_Source,Securin-SBOM,Checkmarx-SBOM,CVE[Securin],License[Securin]
humanizer.core.nb@2.14.1,humanizer.core.nb@2.14.1,humanizer.core.nb@2.14.1,NA,NA
humanizer.core.nl@2.14.1,humanizer.core.nl@2.14.1,humanizer.core.nl@2.14.1,NA,NA
humanizer.core.pl@2.14.1,humanizer.core.pl@2.14.1,humanizer.core.pl@2.14.1,NA,NA
humanizer.core.pt@2.14.1,humanizer.core.pt@2.14.1,humanizer.core.pt@2.14.1,NA,NA
humanizer.core.ro@2.14.1,humanizer.core.ro@2.14.1,humanizer.core.ro@2.14.1,NA,NA
humanizer.core.ru@2.14.1,humanizer.core.ru@2.14.1,humanizer.core.ru@2.14.1,NA,NA
humanizer.core.sk@2.14.1,humanizer.core.sk@2.14.1,humanizer.core.sk@2.14.1,NA,NA
humanizer.core.sl@2.14.1,humanizer.core.sl@2.14.1,humanizer.core.sl@2.14.1,NA,NA
humanizer.core.sr-latn@2.14.1,humanizer.core.sr-latn@2.14.1,humanizer.core.sr-latn@2.14.1,NA,NA
humanizer.core.sr@2.14.1,humanizer.core.sr@2.14.1,humanizer.core.sr@2.14.1,NA,NA
humanizer.core.sv@2.14.1,humanizer.core.sv@2.14.1,humanizer.core.sv@2.14.1,NA,NA
humanizer.core.th-th@2.14.1,humanizer.core.th-th@2.14.1,humanizer.core.th-th@2.14.1,NA,NA
humanizer.core.tr@2.14.1,humanizer.core.tr@2.14.1,humanizer.core.tr@2.14.1,NA,NA
humanizer.core.uk@2.14.1,humanizer.core.uk@2.14.1,humanizer.core.uk@2.14.1,NA,NA
humanizer.core.uz-cyrl-uz@2.14.1,humanizer.core.uz-cyrl-uz@2.14.1,humanizer.core.uz-cyrl-uz@2.14.1,NA,NA
humanizer.core.uz-latn-uz@2.14.1,humanizer.core.uz-latn-uz@2.14.1,humanizer.core.uz-latn-uz@2.14.1,NA,NA
humanizer.core.vi@2.14.1,humanizer.core.vi@2.14.1,humanizer.core.vi@2.14.1,NA,NA
humanizer.core.zh-cn@2.14.1,humanizer.core.zh-cn@2.14.1,humanizer.core.zh-cn@2.14.1,NA,NA
humanizer.core.zh-hans@2.14.1,humanizer.core.zh-hans@2.14.1,humanizer.core.zh-hans@2.14.1,NA,NA
humanizer.core.zh-hant@2.14.1,humanizer.core.zh-hant@2.14.1,humanizer.core.zh-hant@2.14.1,NA,NA
humanizer.core@2.14.1,humanizer.core@2.14.1,humanizer.core@2.14.1,NA,NA
humanizer@2.14.1,humanizer@2.14.1,humanizer@2.14.1,NA,NA
irony.netcore@1.0.11,irony.netcore@1.0.11,irony.netcore@1.0.11,NA,NA
jose-jwt@2.5.0,jose-jwt@2.5.0,jose-jwt@2.5.0,NA,NA
jsonsubtypes@1.2.0,jsonsubtypes@1.2.0,jsonsubtypes@1.2.0,NA,NA
ligershark.weboptimizer.core@3.0.380,ligershark.weboptimizer.core@3.0.380,ligershark.weboptimizer.core@3.0.380,NA,NA
linq2db@4.3.0,linq2db@4.3.0,linq2db@4.3.0,NA,NA
mailkit@3.4.3,mailkit@3.4.3,mailkit@3.4.3,NA,NA
maxmind.db@4.0.0,maxmind.db@4.0.0,maxmind.db@4.0.0,NA,NA
maxmind.geoip2@5.1.0,maxmind.geoip2@5.1.0,maxmind.geoip2@5.1.0,NA,NA
microsoft.aspnetcore.authentication.facebook@7.0.3,microsoft.aspnetcore.authentication.facebook@7.0.3,microsoft.aspnetcore.authentication.facebook@7.0.3,NA,NA
microsoft.aspnetcore.cryptography.internal@3.1.32,microsoft.aspnetcore.cryptography.internal@3.1.32,microsoft.aspnetcore.cryptography.internal@3.1.32,NA,NA
microsoft.aspnetcore.dataprotection.abstractions@3.1.32,microsoft.aspnetcore.dataprotection.abstractions@3.1.32,microsoft.aspnetcore.dataprotection.abstractions@3.1.32,NA,NA
microsoft.aspnetcore.dataprotection@3.1.32,microsoft.aspnetcore.dataprotection@3.1.32,microsoft.aspnetcore.dataprotection@3.1.32,NA,NA
microsoft.aspnetcore.jsonpatch@7.0.3,microsoft.aspnetcore.jsonpatch@7.0.3,microsoft.aspnetcore.jsonpatch@7.0.3,NA,NA
microsoft.aspnetcore.mvc.newtonsoftjson@7.0.3,microsoft.aspnetcore.mvc.newtonsoftjson@7.0.3,microsoft.aspnetcore.mvc.newtonsoftjson@7.0.3,NA,NA
microsoft.aspnetcore.mvc.razor.extensions@6.0.0,microsoft.aspnetcore.mvc.razor.extensions@6.0.0,microsoft.aspnetcore.mvc.razor.extensions@6.0.0,NA,NA
microsoft.aspnetcore.mvc.razor.runtimecompilation@7.0.3,microsoft.aspnetcore.mvc.razor.runtimecompilation@7.0.3,microsoft.aspnetcore.mvc.razor.runtimecompilation@7.0.3,NA,NA
microsoft.aspnetcore.razor.language@6.0.0,microsoft.aspnetcore.razor.language@6.0.0,microsoft.aspnetcore.razor.language@6.0.0,NA,NA
microsoft.azure.services.appauthentication@1.6.2,microsoft.azure.services.appauthentication@1.6.2,microsoft.azure.services.appauthentication@1.6.2,NA,NA
microsoft.bcl.asyncinterfaces@6.0.0,microsoft.bcl.asyncinterfaces@6.0.0,microsoft.bcl.asyncinterfaces@6.0.0,NA,NA
microsoft.codeanalysis.analyzers@3.3.2,microsoft.codeanalysis.analyzers@3.3.2,microsoft.codeanalysis.analyzers@3.3.2,NA,NA
microsoft.codeanalysis.common@4.0.0,microsoft.codeanalysis.common@4.0.0,microsoft.codeanalysis.common@4.0.0,NA,NA
microsoft.codeanalysis.csharp@4.0.0,microsoft.codeanalysis.csharp@4.0.0,microsoft.codeanalysis.csharp@4.0.0,NA,NA
microsoft.codeanalysis.razor@6.0.0,microsoft.codeanalysis.razor@6.0.0,microsoft.codeanalysis.razor@6.0.0,NA,NA
microsoft.codecoverage@17.5.0,microsoft.codecoverage@17.5.0,microsoft.codecoverage@17.5.0,NA,NA
microsoft.csharp@4.5.0,microsoft.csharp@4.5.0,NA,NA,NA
microsoft.csharp@4.7.0,microsoft.csharp@4.7.0,microsoft.csharp@4.7.0,NA,NA
microsoft.data.sqlclient.sni.runtime@4.0.0,microsoft.data.sqlclient.sni.runtime@4.0.0,microsoft.data.sqlclient.sni.runtime@4.0.0,NA,NA
microsoft.data.sqlclient.sni.runtime@5.1.0,microsoft.data.sqlclient.sni.runtime@5.1.0,microsoft.data.sqlclient.sni.runtime@5.1.0,NA,NA
microsoft.data.sqlclient@4.0.1,microsoft.data.sqlclient@4.0.1,microsoft.data.sqlclient@4.0.1,NA,NA
microsoft.data.sqlclient@5.1.0,microsoft.data.sqlclient@5.1.0,microsoft.data.sqlclient@5.1.0,NA,NA
microsoft.data.sqlite.core@7.0.1,microsoft.data.sqlite.core@7.0.1,microsoft.data.sqlite.core@7.0.1,NA,NA
microsoft.data.sqlite@7.0.1,microsoft.data.sqlite@7.0.1,microsoft.data.sqlite@7.0.1,NA,NA
microsoft.extensions.caching.abstractions@7.0.0,microsoft.extensions.caching.abstractions@7.0.0,microsoft.extensions.caching.abstractions@7.0.0,NA,NA
microsoft.extensions.caching.sqlserver@7.0.3,microsoft.extensions.caching.sqlserver@7.0.3,microsoft.extensions.caching.sqlserver@7.0.3,NA,NA
microsoft.extensions.caching.stackexchangeredis@7.0.3,microsoft.extensions.caching.stackexchangeredis@7.0.3,microsoft.extensions.caching.stackexchangeredis@7.0.3,NA,NA
microsoft.extensions.configuration.abstractions@3.1.32,microsoft.extensions.configuration.abstractions@3.1.32,microsoft.extensions.configuration.abstractions@3.1.32,NA,NA
microsoft.extensions.dependencyinjection.abstractions@7.0.0,microsoft.extensions.dependencyinjection.abstractions@7.0.0,microsoft.extensions.dependencyinjection.abstractions@7.0.0,NA,NA
microsoft.extensions.dependencyinjection@2.0.0,microsoft.extensions.dependencyinjection@2.0.0,microsoft.extensions.dependencyinjection@2.0.0,NA,NA
microsoft.extensions.dependencymodel@7.0.0,microsoft.extensions.dependencymodel@7.0.0,microsoft.extensions.dependencymodel@7.0.0,NA,NA
microsoft.extensions.fileproviders.abstractions@3.1.32,microsoft.extensions.fileproviders.abstractions@3.1.32,microsoft.extensions.fileproviders.abstractions@3.1.32,NA,NA
microsoft.extensions.hosting.abstractions@3.1.32,microsoft.extensions.hosting.abstractions@3.1.32,microsoft.extensions.hosting.abstractions@3.1.32,NA,NA
microsoft.extensions.logging.abstractions@7.0.0,microsoft.extensions.logging.abstractions@7.0.0,microsoft.extensions.logging.abstractions@7.0.0,NA,NA
microsoft.extensions.logging@2.0.1,microsoft.extensions.logging@2.0.1,microsoft.extensions.logging@2.0.1,NA,NA
microsoft.extensions.objectpool@5.0.10,microsoft.extensions.objectpool@5.0.10,microsoft.extensions.objectpool@5.0.10,NA,NA
microsoft.extensions.options@7.0.1,microsoft.extensions.options@7.0.1,microsoft.extensions.options@7.0.1,NA,NA
microsoft.extensions.primitives@7.0.0,microsoft.extensions.primitives@7.0.0,microsoft.extensions.primitives@7.0.0,NA,NA
microsoft.identity.client.extensions.msal@2.25.3,microsoft.identity.client.extensions.msal@2.25.3,microsoft.identity.client.extensions.msal@2.25.3,NA,NA
microsoft.identity.client@4.49.1,microsoft.identity.client@4.49.1,microsoft.identity.client@4.49.1,NA,NA
microsoft.identitymodel.abstractions@6.22.0,microsoft.identitymodel.abstractions@6.22.0,microsoft.identitymodel.abstractions@6.22.0,NA,NA
microsoft.identitymodel.abstractions@6.24.0,microsoft.identitymodel.abstractions@6.24.0,microsoft.identitymodel.abstractions@6.24.0,NA,NA
microsoft.identitymodel.clients.activedirectory@5.2.9,microsoft.identitymodel.clients.activedirectory@5.2.9,microsoft.identitymodel.clients.activedirectory@5.2.9,NA,NA
microsoft.identitymodel.jsonwebtokens@6.24.0,microsoft.identitymodel.jsonwebtokens@6.24.0,microsoft.identitymodel.jsonwebtokens@6.24.0,NA,NA
microsoft.identitymodel.jsonwebtokens@6.8.0,microsoft.identitymodel.jsonwebtokens@6.8.0,microsoft.identitymodel.jsonwebtokens@6.8.0,NA,NA
microsoft.identitymodel.logging@6.24.0,microsoft.identitymodel.logging@6.24.0,microsoft.identitymodel.logging@6.24.0,NA,NA
microsoft.identitymodel.logging@6.8.0,microsoft.identitymodel.logging@6.8.0,microsoft.identitymodel.logging@6.8.0,NA,NA
microsoft.identitymodel.protocols.openidconnect@6.24.0,microsoft.identitymodel.protocols.openidconnect@6.24.0,microsoft.identitymodel.protocols.openidconnect@6.24.0,NA,NA
microsoft.identitymodel.protocols.openidconnect@6.8.0,microsoft.identitymodel.protocols.openidconnect@6.8.0,microsoft.identitymodel.protocols.openidconnect@6.8.0,NA,NA
microsoft.identitymodel.protocols@6.24.0,microsoft.identitymodel.protocols@6.24.0,microsoft.identitymodel.protocols@6.24.0,NA,NA
microsoft.identitymodel.protocols@6.8.0,microsoft.identitymodel.protocols@6.8.0,microsoft.identitymodel.protocols@6.8.0,NA,NA
microsoft.identitymodel.tokens@6.24.0,microsoft.identitymodel.tokens@6.24.0,microsoft.identitymodel.tokens@6.24.0,NA,NA
microsoft.identitymodel.tokens@6.8.0,microsoft.identitymodel.tokens@6.8.0,microsoft.identitymodel.tokens@6.8.0,NA,NA
microsoft.net.test.sdk@17.5.0,microsoft.net.test.sdk@17.5.0,microsoft.net.test.sdk@17.5.0,NA,NA
microsoft.netcore.platforms@1.1.0,microsoft.netcore.platforms@1.1.0,NA,NA,NA
microsoft.netcore.platforms@3.1.0,microsoft.netcore.platforms@3.1.0,NA,NA,NA
microsoft.netcore.platforms@5.0.0,microsoft.netcore.platforms@5.0.0,microsoft.netcore.platforms@5.0.0,NA,NA
microsoft.netcore.targets@1.1.0,microsoft.netcore.targets@1.1.0,NA,NA,NA
microsoft.netcore.targets@1.1.3,microsoft.netcore.targets@1.1.3,microsoft.netcore.targets@1.1.3,NA,NA
microsoft.sqlserver.server@1.0.0,microsoft.sqlserver.server@1.0.0,microsoft.sqlserver.server@1.0.0,NA,NA
microsoft.testplatform.objectmodel@17.5.0,microsoft.testplatform.objectmodel@17.5.0,microsoft.testplatform.objectmodel@17.5.0,NA,NA
microsoft.testplatform.testhost@17.5.0,microsoft.testplatform.testhost@17.5.0,microsoft.testplatform.testhost@17.5.0,NA,NA
microsoft.win32.primitives@4.3.0,microsoft.win32.primitives@4.3.0,microsoft.win32.primitives@4.3.0,NA,NA
microsoft.win32.registry@5.0.0,microsoft.win32.registry@5.0.0,microsoft.win32.registry@5.0.0,NA,NA
microsoft.win32.systemevents@4.7.0,microsoft.win32.systemevents@4.7.0,NA,NA,NA
microsoft.win32.systemevents@5.0.0,microsoft.win32.systemevents@5.0.0,microsoft.win32.systemevents@5.0.0,NA,NA
microsoft.win32.systemevents@7.0.0,microsoft.win32.systemevents@7.0.0,microsoft.win32.systemevents@7.0.0,NA,NA
mimekit@3.4.3,mimekit@3.4.3,mimekit@3.4.3,NA,NA
miniprofiler.aspnetcore.mvc@4.2.22,miniprofiler.aspnetcore.mvc@4.2.22,NA,NA,NA
miniprofiler.aspnetcore@4.2.22,miniprofiler.aspnetcore@4.2.22,NA,NA,NA
miniprofiler.shared@4.2.22,miniprofiler.shared@4.2.22,NA,NA,NA
moq@4.18.4,moq@4.18.4,moq@4.18.4,NA,NA
mysqlconnector@2.2.5,mysqlconnector@2.2.5,mysqlconnector@2.2.5,NA,NA
netstandard.library@1.6.1,netstandard.library@1.6.1,netstandard.library@1.6.1,NA,NA
netstandard.library@2.0.0,netstandard.library@2.0.0,netstandard.library@2.0.0,NA,NA
newtonsoft.json.bson@1.0.2,newtonsoft.json.bson@1.0.2,newtonsoft.json.bson@1.0.2,NA,NA
newtonsoft.json@10.0.3,newtonsoft.json@10.0.3,NA,NA,NA
newtonsoft.json@12.0.1,newtonsoft.json@12.0.1,NA,NA,NA
newtonsoft.json@13.0.1,newtonsoft.json@13.0.1,newtonsoft.json@13.0.1,NA,NA
